"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs12422102",0.00599846889191591,0.0150502177037396,0.0106,-0.080103292842114,0.0027,0.0177943,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs13070948",-0.0196070831124852,0.0187550590396191,8e-04,0.101039192174266,0.0039,0.022855,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs147114449",-0.0298866681003751,0.0508292138498154,-0.0118,0.321626873192208,0.0117,0.0653591,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs34463696",-0.0172769632864702,0.0221412537646149,0.0067,0.122943033274454,0.0047,0.0263967,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs36073432",0.0268392820486126,0.0391609873021077,0.0037,0.229236948802762,0.0078,0.0449342,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs4607435",-0.0155679807769188,0.0163412830995339,7e-04,0.084662787878709,0.0034,0.0190437,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs72719172",0.0111749292283213,0.0363140334528091,-0.0054,0.213925192504131,0.008,0.04501,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs7577635",0.0122050037225921,0.0140709706400371,-0.0031,-0.078208058338985,0.0025,0.0171993,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs76013678",-0.0391577597347842,0.0351718730668771,-0.0091,0.161659560345859,0.0069,0.0360939,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs76402879",-0.00619384357906539,0.0549991595463857,0.0248,0.310802718442495,0.0114,0.0660669,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
"rs77471963",-0.0157558638555448,0.0224108596156872,0.0028,-0.123856064220383,0.005,0.0265894,"BMI","LongSleep","HTN",2.57213388261357,19.9497465991794
