"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs10125474",0.00286770672826502,0.0284982624512625,0.007,0.0286909682826371,0.0024,0.00617780683163802,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs10138093",-0.0226649611431253,0.0277812693358953,-0.0092,-0.0292009053312502,0.0027,0.00621235887355239,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs1030025",-0.00939876659059735,0.0335991838327047,-0.0041,-0.0330132261299236,0.0032,0.0074652135946834,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs11062934",-0.0234319409121508,0.0278315537902437,0.0011,0.0269253700510153,0.0024,0.00593618522626149,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs113741904",0.0970622848157802,0.0348807751146367,-6e-04,0.036746972362219,0.0036,0.00829517532862787,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs11680723",0.0886719461473609,0.0350500896487279,-0.0136,-0.0358464692151417,0.003,0.00789759298786025,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs11805515",-0.0530842481632847,0.0633858956885414,0.0017,0.245767824434596,0.0053,0.0511458739353795,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs12052085",0.00824605816472066,0.0272376823667478,0.0147,0.028084156961794,0.0027,0.00605303534764972,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs12915898",0.10496154225995,0.0324347248898796,0.0118,0.0372810327006388,0.0032,0.0084361436496703,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs13011109",0.027092756310045,0.0273488678649671,-0.0188,-0.0333099446328049,0.0022,0.00701648524916254,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs13114461",-0.00951741738972427,0.0484722919507288,0.0363,0.0610765561896494,0.0043,0.0108040138718155,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs147156372",0.148395591484889,0.103474581197605,-0.0256,0.433666962901505,0.0103,0.0956885568247318,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs148993979",-0.145746724262771,0.0959687415139415,0.0182,0.341525748401192,0.0081,0.0772116824553876,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs150973658",0.00465202984128375,0.0371244572116307,-0.0031,0.0392927643784135,0.0038,0.00865335192020608,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs1837269",-0.000222106294041964,0.0272759175453268,0.0121,0.027963715484047,0.0023,0.00619538970633282,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs210202",-0.0246539894135853,0.0278419487555356,0.008,0.0281349087158547,0.0024,0.0060832299851295,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs2279829",-0.0241676167735218,0.0325485289368737,0.0108,0.0330793279560082,0.0028,0.00734720761343333,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs2374053",0.0149591268142301,0.0302012683508453,-0.0175,-0.0310171122448178,0.0026,0.00672414722479879,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs2685563",0.0103114795071464,0.0267742886053099,-0.0161,-0.0287845217184884,0.0026,0.00645095022488391,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs2787572",-0.0236662543131258,0.0301354336600221,5e-04,0.0319138809130508,0.0029,0.006923571321172,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs28412916",-0.0074945867122457,0.0272763570196156,-0.0117,-0.108498698164803,0.0026,0.0240622266228393,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs3111810",0.0474229250123595,0.0272436757475189,5e-04,0.0300758260328173,0.0023,0.0067054412368006,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs34179442",-0.0462171365079006,0.0272215240229161,-0.0049,0.029677370919989,0.0026,0.00655105409039868,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs34351",-0.0416029254430253,0.0285611225759978,-0.0305,-0.0308822694994576,0.0028,0.00651036122221129,"BMI","OSA","AF",13.9361374153539,6.77463595617976
"rs3778624",-0.0478278182795271,0.0318194210680177,0.0015,0.0302743612955407,0.0027,0.00674555466044552,"BMI","OSA","AF",13.9361374153539,6.77463595617976
