"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117849753",-0.0563361701873131,0.146046381216629,0.0071,0.403870504069325,0.0102,0.0899587,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs11805515",-0.0375567272294856,0.0848044506048123,0.0017,0.255835304812432,0.0053,0.0523207,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs12301832",0.00432229217336754,0.0382398051171989,0.0032,0.119869745850384,0.0028,0.0270299,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs146632866",0.211996761860591,0.12677771481987,0.0265,0.402888458061381,0.0111,0.0910824,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs147156372",0.137371655475671,0.14109236653252,-0.0256,0.452361416572393,0.0103,0.0979001,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs148993979",-0.037069353819527,0.124754613948034,0.0182,0.356736942016812,0.0081,0.0790262,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs322237",0.0138859068006911,0.0412753754494933,-7e-04,0.12812053027586,0.0027,0.0286622,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs56353887",-0.131148968745975,0.0622513145661307,0.0141,0.174096154063185,0.0042,0.0383808,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs57946121",-0.0661945985993523,0.0784450674235431,0.0091,-0.263804100534125,0.0058,0.0587567,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs7183818",0.00504055482860191,0.0363084694195831,-0.0131,-0.110394274903555,0.0023,0.0247124,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs73270123",0.0311846441681258,0.0596173436171256,-0.004,-0.202078241145528,0.0045,0.0443982,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs75439231",-0.233874840423079,0.125422010236156,0.0042,0.321873332158038,0.0079,0.0715071,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs78203474",-0.0801130700864816,0.0704501068007423,0.0028,0.220147066333935,0.0053,0.0468536,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs79252054",-0.0488305090079225,0.154311301374718,0.0274,0.398104753701872,0.0099,0.0881917,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
"rs9829686",-0.0459595645611586,0.0357855400240224,-0.003,-0.109722236368893,0.0023,0.0247276,"BMI","OSA","CAD",3.65207085580278,8.75132635293549
