"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs12422102",-0.00880155218949407,0.0279406741109222,0.0106,-0.080103292842114,0.0027,0.0177943,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs13070948",-0.0587084578903753,0.0353760230407497,8e-04,0.101039192174266,0.0039,0.022855,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs147114449",-0.0448520848404565,0.0952107726853332,-0.0118,0.321626873192208,0.0117,0.0653591,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs34463696",-0.0165687133419788,0.0412927187684664,0.0067,0.122943033274454,0.0047,0.0263967,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs36073432",0.0606472989761035,0.0709671575522522,0.0037,0.229236948802762,0.0078,0.0449342,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs4607435",-0.0157761993762847,0.0303881879208116,7e-04,0.084662787878709,0.0034,0.0190437,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs72719172",-0.14650458955358,0.071379168014946,-0.0054,0.213925192504131,0.008,0.04501,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs7577635",0.00329388392809467,0.0261348278869507,-0.0031,-0.078208058338985,0.0025,0.0171993,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs76013678",-0.0174794867549061,0.0658070476980716,-0.0091,0.161659560345859,0.0069,0.0360939,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs76402879",-0.08152729407277,0.105327667160937,0.0248,0.310802718442495,0.0114,0.0660669,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
"rs77471963",-0.00945486988076482,0.0417994346077394,0.0028,-0.123856064220383,0.005,0.0265894,"BMI","LongSleep","T2DM",2.57213388261357,19.9497465991794
