"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117849753",-0.0339060429912277,0.111346952461316,0.0071,0.403870504069325,0.0102,0.0899587,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs11805515",-0.0502850613655591,0.0660622726995817,0.0017,0.255835304812432,0.0053,0.0523207,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs12301832",0.0172522132086103,0.029835871800226,0.0032,0.119869745850384,0.0028,0.0270299,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs146632866",-0.116390432109373,0.117038915710861,0.0265,0.402888458061381,0.0111,0.0910824,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs147156372",-0.0201602687347362,0.115582574207138,-0.0256,0.452361416572393,0.0103,0.0979001,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs148993979",0.0780566911795434,0.0911761479461222,0.0182,0.356736942016812,0.0081,0.0790262,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs322237",-0.0410451784369353,0.0328528724133653,-7e-04,0.12812053027586,0.0027,0.0286622,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs56353887",-0.000834625898623146,0.0460545003818403,0.0141,0.174096154063185,0.0042,0.0383808,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs57946121",-0.00231531790497125,0.0601810425211923,0.0091,-0.263804100534125,0.0058,0.0587567,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs7183818",-0.0142067024096017,0.028414119369125,-0.0131,-0.110394274903555,0.0023,0.0247124,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs73270123",-0.0354782732361976,0.0482877551120597,-0.004,-0.202078241145528,0.0045,0.0443982,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs75439231",-0.195995109310099,0.0956418301594988,0.0042,0.321873332158038,0.0079,0.0715071,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs78203474",0.134076627190369,0.0513395191677566,0.0028,0.220147066333935,0.0053,0.0468536,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs79252054",0.199276529335838,0.105134556560913,0.0274,0.398104753701872,0.0099,0.0881917,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
"rs9829686",0.0388433676922193,0.0279866779714771,-0.003,-0.109722236368893,0.0023,0.0247276,"BMI","OSA","T2DM",3.65207085580278,8.75132635293549
