"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117127404",-0.108115284890639,0.145755529593482,0.0051,-0.523563068348089,0.01,0.115427,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs12553270",-0.0324766339931624,0.0758126068028449,5e-04,0.242569637139312,0.0048,0.0465059,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs1475549",-0.0549164178885609,0.073864825139682,-0.0109,-0.249663363467434,0.0055,0.0561647,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs150081707",0.0907079117783191,0.0928790020058932,-0.0094,0.26842279751297,0.0069,0.0588301,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs28573814",-0.0243058847763475,0.035746497891766,-0.015,0.116982715485614,0.0025,0.0248692,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs56256111",-0.0058746534841118,0.04983756585892,-0.0083,0.153553358609311,0.0038,0.0344867,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs5771648",-0.0214073448267046,0.0357157847941312,-1e-04,-0.110874579090541,0.0027,0.0250637,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs60365505",-0.122257044100732,0.0757934110788989,-0.0047,0.213949414474266,0.0056,0.0483258,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs73313142",0.0158803466952173,0.070854791160726,0.0066,0.218661522010342,0.0057,0.0492748,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs76725568",0.00811376735445974,0.0648623475117286,2e-04,0.213925192504131,0.0049,0.0469983,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
"rs9784526",0.0389683007798606,0.0423452538362225,0.0032,0.124895460071316,0.0028,0.0282546,"BMI","Insomnia","HF",4.2809222332539,11.9536926179708
