"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs11212405",0.00525399947185322,0.0233213691063235,-0.0059,0.0369103540200972,0.0029,0.00828186,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs11636029",-0.0310103675687238,0.0253288625524737,-0.0018,0.0404603291272106,0.0028,0.00900089,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs12283611",-0.0375690294344649,0.0232070217911911,-3e-04,0.0392495588910852,0.0029,0.00863027,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs12487067",0.00981850438613936,0.0443092168144344,0.0138,0.0707659652933227,0.0057,0.015704,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs16903499",-0.019725987923199,0.0262907004329599,-0.0038,0.0419765277901568,0.0029,0.00933569,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs17354185",0.0288898104102704,0.0273973881682702,-0.002,-0.0484489223990281,0.0031,0.0105304,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs2165048",0.0264569292517994,0.0326830950997761,-0.0028,-0.068298112887609,0.0041,0.0132232,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs2570501",0.0168207826252772,0.0255618514742956,-1e-04,-0.0465414444359166,0.0028,0.0093792,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs283256",-0.0160726953720632,0.0249277272262412,-7e-04,-0.0412033172145134,0.0028,0.00924467,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs28884258",-0.00913324839549673,0.0319825066121395,5e-04,-0.0506261485577745,0.0041,0.0113816,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs303757",0.0170473892508854,0.0240372330128396,0.0207,-0.038748104850181,0.0026,0.00862066,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs35449613",-0.02196549242175,0.0475985545307873,-0.0029,0.082372299757861,0.006,0.0180341,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs4780824",0.0673077730651591,0.0294753369365635,-0.0196,0.047141186304803,0.0038,0.0105977,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs58941960",-0.0236153920454918,0.0333456732952238,-0.0159,0.0566449487059528,0.0041,0.0121871,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs60994383",-0.0132922942802264,0.0273651922188444,-0.002,-0.0483124782795056,0.0035,0.00968763,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs62032791",0.0176110500091806,0.024327301292847,0.0038,0.037931420834556,0.0031,0.008575,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs7290678",0.0538241094846808,0.0747230215713989,0.0029,-0.135455528301143,0.0088,0.0294546,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs73204557",0.0266402334134354,0.0374986656268749,-0.0046,-0.0732278979941559,0.0052,0.0164761,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
"rs77872709",-0.00609650780778531,0.0889017083447876,-0.0041,-0.158292578994593,0.0112,0.0357627,"BMI","Insomnia","AF",6.11083501870104,18.1368863031469
