"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs12422102",-0.0166926128306298,0.0335616542776794,0.0106,-0.080103292842114,0.0027,0.0177943,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs13070948",-0.0476629245306913,0.0423219692089656,8e-04,0.101039192174266,0.0039,0.022855,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs147114449",-0.0153193721054952,0.112836937887816,-0.0118,0.321626873192208,0.0117,0.0653591,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs34463696",-0.015306751187066,0.0496183323938695,0.0067,0.122943033274454,0.0047,0.0263967,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs36073432",0.0866880353744819,0.0841616974505025,0.0037,0.229236948802762,0.0078,0.0449342,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs4607435",-0.0158644059105045,0.0364115965081999,7e-04,0.084662787878709,0.0034,0.0190437,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs72719172",0.033170614995209,0.0798191404617725,-0.0054,0.213925192504131,0.008,0.04501,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs7577635",-0.0235959343105541,0.0313961027959035,-0.0031,-0.078208058338985,0.0025,0.0171993,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs76013678",-0.14747783082671,0.0833139498976286,-0.0091,0.161659560345859,0.0069,0.0360939,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs76402879",0.133919880451395,0.115840033545493,0.0248,0.310802718442495,0.0114,0.0660669,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
"rs77471963",-0.00251288794321559,0.0498583894691464,0.0028,-0.123856064220383,0.005,0.0265894,"BMI","LongSleep","HF",2.57213388261357,19.9497465991794
